OBJECTID,NAME,Shape__Area,Shape__Length
347,3601,0.00197831036211937,0.231023199520831
348,3604,0.00160191450504499,0.487152996356195
349,3606,0.000906581364688464,0.192898446911723
350,3607,0.0010909636607721,0.340395183459434
351,3602,0.000850993063295391,0.167622760238561
352,3605,0.00159498322136642,0.58556250839351
353,3603,0.000365792256843633,0.143028977069315
354,3908,0.000271357572728448,0.0679137955177759
355,3906,0.00011923571855732,0.0648721769127167
356,3907,0.000156842124397372,0.0599313786458655
357,3911,0.000134881344365567,0.056894281536842
358,3910,0.000256467075132605,0.0925121536968411
359,3904,0.000196814403807366,0.0662687158959831
360,3902,0.000132548526835308,0.0681068983280713
361,3901,5.50021356957586e-05,0.0425976218443562
362,3909,0.000440951472683082,0.102230471469298
363,3905,0.000249062814191348,0.0908396553262992
364,3210,0.00182980067393146,0.637475190618578
365,3209,0.00179532864740395,0.504475471177597
366,3208,0.0029533603174059,0.524638275181487
367,0305,0.00116851604934709,0.27362662254851
368,0306,0.00292276268351088,0.303871258946298
369,2503,0.000656891500739221,0.142969662155816
370,2504,0.000725296471046022,0.175834407242641
371,3403,0.000339408009494946,0.110158660484356
372,3401,0.000185821470722658,0.0940527034248755
373,3402,0.00120318516178486,0.32631105090924
374,2628,0.000186838575018555,0.0923017638081803
375,2624,0.000130866970494026,0.0581403658220215
376,3703,0.0041681038853767,0.382739498172626
377,3704,0.0053837572681914,0.374541341639091
378,3702,0.00109990295709395,0.252358270704099
379,3701,0.00369479262212735,0.471287831064632
380,2305,0.00105243271241307,0.187747845912278
381,2301,0.00111210771797232,0.18724769100262
382,2302,0.00115717821358885,0.203200536051131
383,2309,0.00137057066626767,0.353997326793343
384,2307,0.000730970331005665,0.312758768874978
385,2304,0.00100409770016086,0.263995403936758
386,2303,0.0019166653735283,0.338633849252449
387,2308,0.00230205094158009,0.334526840026297
388,2306,0.00164594393504558,0.241102375080955
389,3002,0.00416790286726609,0.39644365640604
390,3001,0.00716991538320144,0.476871915125124
391,3003,0.00402862108694535,0.330006860973285
392,3801,0.000161014983859786,0.0644692604182814
393,3810,0.000172232314298526,0.0724071396264822
394,3803,6.81844669543352e-05,0.0425274961503624
395,3804,0.000516622114673737,0.141544376518496
396,3805,0.00017870318470159,0.0931638159276454
397,3806,0.000122371233373997,0.0595428299869237
398,3807,0.000298894149409534,0.116806734149355
399,3802,8.63552127157163e-05,0.0480637152628876
400,3808,0.000274910692496633,0.0953218154514897
401,3809,0.000365543300858917,0.110288037029931
402,2831,0.000103741185512263,0.0551174484098862
403,2879,7.73947531342856e-05,0.0533584697575616
404,2880,0.000113764786419779,0.0542768185905161
405,2818,8.26066143417847e-05,0.0454528324240839
406,2105,0.000212334392472258,0.0802734337741016
407,2108,4.36205596088257e-05,0.029236633557685
408,1014,0.000145888258657578,0.0859136121871201
409,1013,0.000591577961813528,0.229047374584193
410,0803,0.000246255888896485,0.12278495687565
411,0813,0.000230721239177001,0.0732967449848651
412,3903,7.47787873933703e-05,0.0508301687201351
413,3912,0.000141951132491158,0.0596243729753849
414,2502,0.00202753950406986,0.201593369428711
415,2501,0.00318629462253739,0.327797351553954
416,3102,0.000420974179405675,0.117582123449605
417,3103,0.000703462984120051,0.178431925194944
418,3105,0.000599249014612724,0.146780390970877
419,3106,0.00328848908111468,0.344357843873908
