office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,Woonsocket 3912,448,25
President,,Donald J. Trump,R,Woonsocket Limited,0,0
President,,Donald J. Trump,R,Woonsocket Presidential,73,0
President,,Donald J. Trump,R,Federal Precinct #1,30,30
President,,Donald J. Trump,R,Federal Precinct #2,23,23
President,,Hillary Clinton,D,Barrington 0101,1027,105
President,,Hillary Clinton,D,Barrington 0102,1331,167
President,,Hillary Clinton,D,Barrington 0103,1136,168
President,,Hillary Clinton,D,Barrington 0104,1328,163
President,,Hillary Clinton,D,Barrington 0105,1290,155
President,,Hillary Clinton,D,Barrington Limited,1,0
President,,Hillary Clinton,D,Barrington Presidential,40,2
President,,Hillary Clinton,D,Bristol 0201,496,26
President,,Hillary Clinton,D,Bristol 0202,371,28
President,,Hillary Clinton,D,Bristol 0203,1152,148
President,,Hillary Clinton,D,Bristol 0204,767,80
President,,Hillary Clinton,D,Bristol 0205,800,42
President,,Hillary Clinton,D,Bristol 0206,695,46
President,,Hillary Clinton,D,Bristol 0207,534,55
President,,Hillary Clinton,D,Bristol 0208,618,69
President,,Hillary Clinton,D,Bristol 0209,129,3
President,,Hillary Clinton,D,Bristol Limited,1,0
President,,Hillary Clinton,D,Bristol Presidential,208,0
President,,Hillary Clinton,D,Burrillville 0301,443,52
President,,Hillary Clinton,D,Burrillville 0302,421,38
President,,Hillary Clinton,D,Burrillville 0303,564,49
President,,Hillary Clinton,D,Burrillville 0304,349,26
